Country or region,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population,Median agein years,Life expectancyin years,GDP,Population under 20 years old in %
Uganda,126,4.432,0.312,1.052,0.378,0.402,0.265,0.064,,15.7,62.7,,57.1
Chad,127,4.423,0.302,0.739,0.109,0.229,0.211,0.086,,16.1,52.6,,58.4
Tunisia,128,4.392,0.875,0.872,0.781,0.236,0.056,0.044,,,,,
Mauritania,129,4.375,0.54,1.113,0.425,0.186,0.129,0.122,,,,,
Sri Lanka,130,4.327,0.898,1.195,0.792,0.529,0.253,0.049,,33.7,76.4,,31.2
DR Congo,131,4.311,0.062,0.833,0.277,0.365,0.254,0.081,,,,,
Eswatini,132,4.308,0.828,1.065,0.216,0.3,0.067,0.147,,,,,
Myanmar,133,4.308,0.678,1.098,0.495,0.597,0.57,0.188,,29.2,65.8,,33.4
Comoros,134,4.289,0.416,0.723,0.437,0.181,0.259,0.1,,,,,
Togo,135,4.187,0.268,0.548,0.343,0.304,0.201,0.115,,,,,
Ethiopia,136,4.186,0.315,1.001,0.484,0.413,0.228,0.117,,19.8,65.1,,51.2
Madagascar,137,4.166,0.245,0.824,0.501,0.193,0.191,0.076,,,,,
Egypt,138,4.151,0.875,0.983,0.597,0.374,0.069,0.095,,24.1,70.2,,41.9
Sierra Leone,139,3.926,0.241,0.748,0.204,0.382,0.258,0.048,,19.1,60.1,,50.3
Burundi,140,3.775,0.0,0.404,0.295,0.275,0.187,0.212,,17.7,61.7,,56.8
Zambia,141,3.759,0.537,0.896,0.364,0.491,0.251,0.087,,16.9,61.2,,54.3
Haiti,142,3.721,0.285,0.647,0.374,0.169,0.464,0.162,,24.1,63.3,,42.3
Lesotho,143,3.653,0.455,1.089,0.101,0.409,0.103,0.05,,,,,
India,144,3.573,0.731,0.644,0.541,0.581,0.237,0.106,,28.7,67.3,,34.8
Malawi,145,3.538,0.177,0.53,0.446,0.487,0.213,0.132,,16.8,63.1,,54.9
Yemen,146,3.527,0.393,1.177,0.415,0.244,0.095,0.087,,19.8,63.8,,50.7
Botswana,147,3.479,0.998,1.086,0.494,0.509,0.033,0.102,,,,,
Tanzania,148,3.476,0.457,0.873,0.443,0.509,0.272,0.204,,18.2,66.3,,54.6
Central African Republic,149,3.476,0.041,0.0,0.0,0.293,0.254,0.028,,,,,
Rwanda,150,3.312,0.343,0.523,0.572,0.604,0.236,0.486,,19.7,66.0,,50.0
Zimbabwe,151,3.299,0.426,1.048,0.375,0.377,0.151,0.081,,20.5,59.3,,52.1
South Sudan,152,2.817,0.289,0.553,0.209,0.066,0.21,0.111,,18.6,55.0,,56.9
Afghanistan,153,2.567,0.301,0.356,0.266,0.0,0.135,0.001,,19.5,62.1,,55.1
